"key"	"dataValue"	"taxonId"	"origTaxonId"	"prefTaxonName"	"origTaxon"	"origQualifier"
"Lamium hybridum Vill."		"2cd4p9h.8rw"	"2cd4p9h.8rw"	"Lamium hybridum Vill."	"Lamium hybridum"	
"Lepidium sativum L."		"2cd4p9h.8rs"	"2cd4p9h.8rs"	"Lepidium sativum L."	"Lepidium sativum"	
"Lilium martagon L."		"2cd4p9h.8s9"	"2cd4p9h.8s9"	"Lilium martagon L."	"Lilium martagon"	
"Linaria supina (L.) Chaz."		"2cd4p9h.8sx"	"2cd4p9h.8sx"	"Linaria supina (L.) Chaz."	"Linaria supina"	
"Linum usitatissimum L."		"2cd4p9h.8sy"	"2cd4p9h.8sy"	"Linum usitatissimum L."	"Linum usitatissimum"	
"Lonicera xylosteum L."		"2cd4p9h.8th"	"2cd4p9h.8th"	"Lonicera xylosteum L."	"Lonicera xylosteum"	
"Melampyrum arvense L."		"2cd4p9h.8zm"	"2cd4p9h.8zm"	"Melampyrum arvense L."	"Melampyrum arvense"	
"Melilotus officinalis (L.) Pall."		"2cd4p9h.8zp"	"2cd4p9h.8zp"	"Melilotus officinalis (L.) Pall."	"Melilotus officinalis"	
"Mentha aquatica x arvensis x spicata = M. x smithiana R.A.Graham"		"2cd4p9h.900"	"2cd4p9h.900"	"Mentha aquatica x arvensis x spicata = M. x smithiana R.A.Graham"	"Mentha aquatica x arvensis x spicata = M. x smithiana"	
"Myosotis arvensis (L.) Hill"		"2cd4p9h.90y"	"2cd4p9h.90y"	"Myosotis arvensis (L.) Hill"	"Myosotis arvensis"	
"Omphalodes verna Moench"		"2cd4p9h.91h"	"2cd4p9h.91h"	"Omphalodes verna Moench"	"Omphalodes verna"	
"Oxalis stricta L."		"2cd4p9h.92d"	"2cd4p9h.92d"	"Oxalis stricta L."	"Oxalis stricta"	
"Petasites japonicus (Siebold & Zucc.) Maxim."		"2cd4p9h.92p"	"2cd4p9h.92p"	"Petasites japonicus (Siebold & Zucc.) Maxim."	"Petasites japonicus"	
"Petroselinum crispum (Mill.) Nyman ex A.W.Hill"		"2cd4p9h.92s"	"2cd4p9h.92s"	"Petroselinum crispum (Mill.) Nyman ex A.W.Hill"	"Petroselinum crispum"	
"Phalaris canariensis L."		"2cd4p9h.933"	"2cd4p9h.933"	"Phalaris canariensis L."	"Phalaris canariensis"	
"Pinus nigra subsp. laricio Maire"		"2cd4p9h.93c"	"2cd4p9h.93c"	"Pinus nigra subsp. laricio Maire"	"Pinus nigra subsp. laricio"	
"Populus alba L."		"2cd4p9h.945"	"2cd4p9h.945"	"Populus alba L."	"Populus alba"	
