"key","taxonId.x","hybrid_species","parents","name","taxonId.y","native_status","StaceIV_nativity","native_combined"
"Potamogeton coloratus x gramineus = P. x billupsii Fryer","2cd4p9h.bgr","Potamogeton x billupsii Fryer","parent1","Potamogeton coloratus","2cd4p9h.p11","N","N","native"
"Potamogeton coloratus x gramineus = P. x billupsii Fryer","2cd4p9h.bgr","Potamogeton x billupsii Fryer","parent2","Potamogeton gramineus","2cd4p9h.fxc","N","N","native"
"Dryopteris filix-mas x oreades = D. x mantoniae Fraser-Jenk. & Corley","2cd4p9h.bhb","Dryopteris x mantoniae Fraser-Jenk. & Corley","parent1","Dryopteris filix-mas","2cd4p9h.87x","N","N","native"
"Dryopteris filix-mas x oreades = D. x mantoniae Fraser-Jenk. & Corley","2cd4p9h.bhb","Dryopteris x mantoniae Fraser-Jenk. & Corley","parent1","Dryopteris filix-mas","2cd4p9h.bv1","N","N","native"
"Dryopteris filix-mas x oreades = D. x mantoniae Fraser-Jenk. & Corley","2cd4p9h.bhb","Dryopteris x mantoniae Fraser-Jenk. & Corley","parent2","Dryopteris oreades","2cd4p9h.ers","N","N","native"
"Equisetum arvense x palustre = E. x rothmaleri C.N.Page","2cd4p9h.bw9","Equisetum x rothmaleri C.N.Page","parent1","Equisetum arvense","2cd4p9h.es0","N","N","native"
"Equisetum arvense x palustre = E. x rothmaleri C.N.Page","2cd4p9h.bw9","Equisetum x rothmaleri C.N.Page","parent2","Equisetum palustre","2cd4p9h.4k0","N","N","native"
"Polystichum lonchitis x setiferum = P. x lonchitiforme (Halácsy) Bech.","2cd4p9h.bwc","Polystichum x lonchitiforme (Halácsy) Bech.","parent1","Polystichum lonchitis","2cd4p9h.esx","N","N","native"
"Polystichum lonchitis x setiferum = P. x lonchitiforme (Halácsy) Bech.","2cd4p9h.bwc","Polystichum x lonchitiforme (Halácsy) Bech.","parent2","Polystichum setiferum","2cd4p9h.x72","N","N","native"
"Fumaria muralis x officinalis = F. x painteri Pugsley","2cd4p9h.c1q","Fumaria x painteri Pugsley","parent1","Fumaria muralis","2cd4p9h.c1n","N","N","native"
"Fumaria muralis x officinalis = F. x painteri Pugsley","2cd4p9h.c1q","Fumaria x painteri Pugsley","parent2","Fumaria officinalis","2cd4p9h.xx3","AR","Arch-colonist","native"
"Poa alpina x flexuosa = P. x jemtlandica (Almq.) K.Richt.","2cd4p9h.ce4","Poa x jemtlandica (Almq.) K.Richt.","parent1","Poa alpina","2cd4p9h.5gz","N","N","native"
"Poa alpina x flexuosa = P. x jemtlandica (Almq.) K.Richt.","2cd4p9h.ce4","Poa x jemtlandica (Almq.) K.Richt.","parent2","Poa flexuosa","2cd4p9h.fk1","N","N","native"
"Populus deltoides x nigra = P. x canadensis Moench","2cd4p9h.cf0","Populus x canadensis Moench","parent1","Populus deltoides",NA,NA,NA,NA
"Populus deltoides x nigra = P. x canadensis Moench","2cd4p9h.cf0","Populus x canadensis Moench","parent2","Populus nigra","2cd4p9h.dga","N","N","native"
"Tragopogon porrifolius x pratensis = T. x mirabilis Rouy","2cd4p9h.cn7","Tragopogon x mirabilis Rouy","parent1","Tragopogon porrifolius",NA,NA,"Neo-natd","neophyte"
"Tragopogon porrifolius x pratensis = T. x mirabilis Rouy","2cd4p9h.cn7","Tragopogon x mirabilis Rouy","parent2","Tragopogon pratensis","2cd4p9h.ft7","N","N","native"
"Salix aurita x herbacea x repens = S. x grahamii Borrer ex Baker","2cd4p9h.cq1","Salix x grahamii Borrer ex Baker","parent1","Salix aurita","2cd4p9h.1sp","N","N","native"
"Salix aurita x herbacea x repens = S. x grahamii Borrer ex Baker","2cd4p9h.cq1","Salix x grahamii Borrer ex Baker","parent2","Salix herbacea","2cd4p9h.w08","N","N","native"
"Salix aurita x herbacea x repens = S. x grahamii Borrer ex Baker","2cd4p9h.cq1","Salix x grahamii Borrer ex Baker","parent3","Salix repens","2cd4p9h.1tf","N","N","native"
"Salix caprea x cinerea = S. x reichardtii A.Kern.","2cd4p9h.cq7","Salix x reichardtii A.Kern.","parent1","Salix caprea","2cd4p9h.1ss","N","N","native"
"Salix caprea x cinerea = S. x reichardtii A.Kern.","2cd4p9h.cq7","Salix x reichardtii A.Kern.","parent2","Salix cinerea","2cd4p9h.1t0","N","N","native"
"Salix cinerea x repens = S. x subsericea Döll","2cd4p9h.cqa","Salix x subsericea Döll","parent1","Salix cinerea","2cd4p9h.1t0","N","N","native"
"Salix cinerea x repens = S. x subsericea Döll","2cd4p9h.cqa","Salix x subsericea Döll","parent2","Salix repens","2cd4p9h.1tf","N","N","native"
"Bromus hordeaceus x lepidus = B. x pseudothominei P.M.Sm.","2cd4p9h.cqd","Bromus x pseudothominei P.M.Sm.","parent1","Bromus hordeaceus","2cd4p9h.xf","N","N","native"
"Bromus hordeaceus x lepidus = B. x pseudothominei P.M.Sm.","2cd4p9h.cqd","Bromus x pseudothominei P.M.Sm.","parent2","Bromus lepidus",NA,NA,"Neo-natd","neophyte"
"Viola altaica x lutea x tricolor = V. x wittrockiana Gams ex Kappert","2cd4p9h.crf","Viola x wittrockiana Gams ex Kappert","parent1","Viola altaica",NA,NA,NA,NA
"Viola altaica x lutea x tricolor = V. x wittrockiana Gams ex Kappert","2cd4p9h.crf","Viola x wittrockiana Gams ex Kappert","parent2","Viola lutea","2cd4p9h.w5v","N","N","native"
"Viola altaica x lutea x tricolor = V. x wittrockiana Gams ex Kappert","2cd4p9h.crf","Viola x wittrockiana Gams ex Kappert","parent3","Viola tricolor","2cd4p9h.w5z","N","N","native"
"Rumex crispus x obtusifolius = R. x pratensis Mert. & W.D.J.Koch","2cd4p9h.crx","Rumex x pratensis Mert. & W.D.J.Koch","parent1","Rumex crispus","2cd4p9h.96x","N","N","native"
"Rumex crispus x obtusifolius = R. x pratensis Mert. & W.D.J.Koch","2cd4p9h.crx","Rumex x pratensis Mert. & W.D.J.Koch","parent2","Rumex obtusifolius","2cd4p9h.m1d","N","N","native"
"Rumex crispus x pulcher = R. x pseudopulcher Hausskn.","2cd4p9h.cry","Rumex x pseudopulcher Hausskn.","parent1","Rumex crispus","2cd4p9h.96x","N","N","native"
"Rumex crispus x pulcher = R. x pseudopulcher Hausskn.","2cd4p9h.cry","Rumex x pseudopulcher Hausskn.","parent2","Rumex pulcher","2cd4p9h.m1g","N","N","native"
"Potamogeton crispus x lucens = P. x cadburyae Dandy & G.Taylor","2cd4p9h.crr","Potamogeton x cadburyae Dandy & G.Taylor","parent1","Potamogeton crispus","2cd4p9h.xts","N","N","native"
"Potamogeton crispus x lucens = P. x cadburyae Dandy & G.Taylor","2cd4p9h.crr","Potamogeton x cadburyae Dandy & G.Taylor","parent2","Potamogeton lucens","2cd4p9h.1mg","N","N","native"
"Potamogeton crispus x perfoliatus = P. x cooperi (Fryer) Fryer","2cd4p9h.crz","Potamogeton x cooperi (Fryer) Fryer","parent1","Potamogeton crispus","2cd4p9h.xts","N","N","native"
"Potamogeton crispus x perfoliatus = P. x cooperi (Fryer) Fryer","2cd4p9h.crz","Potamogeton x cooperi (Fryer) Fryer","parent2","Potamogeton perfoliatus","2cd4p9h.p14","N","N","native"
"Potamogeton pusillus x trichoides = P. x grovesii Dandy & G.Taylor","2cd4p9h.cs2","Potamogeton x grovesii Dandy & G.Taylor","parent1","Potamogeton pusillus","2cd4p9h.1mp","N","N","native"
"Potamogeton pusillus x trichoides = P. x grovesii Dandy & G.Taylor","2cd4p9h.cs2","Potamogeton x grovesii Dandy & G.Taylor","parent2","Potamogeton trichoides","2cd4p9h.p17","N","N","native"
"Potamogeton alpinus x perfoliatus = P. x prussicus Hagstr.","2cd4p9h.cs5","Potamogeton x prussicus Hagstr.","parent1","Potamogeton alpinus","2cd4p9h.p0t","N","N","native"
"Potamogeton alpinus x perfoliatus = P. x prussicus Hagstr.","2cd4p9h.cs5","Potamogeton x prussicus Hagstr.","parent2","Potamogeton perfoliatus","2cd4p9h.p14","N","N","native"
"Hyacinthoides non-scripta x hispanica = H. x massartiana Geerinck","2cd4p9h.ct7","Hyacinthoides x massartiana Geerinck","parent1","Hyacinthoides non-scripta","2cd4p9h.z9","N","N","native"
"Hyacinthoides non-scripta x hispanica = H. x massartiana Geerinck","2cd4p9h.ct7","Hyacinthoides x massartiana Geerinck","parent2","Hyacinthoides hispanica","2cd4p9h.bza","AN","Neo-natd","neophyte"
"Mentha longifolia x spicata = M. x villosonervata Opiz","2cd4p9h.ctg","Mentha x villosonervata Opiz","parent1","Mentha longifolia",NA,NA,NA,NA
"Mentha longifolia x spicata = M. x villosonervata Opiz","2cd4p9h.ctg","Mentha x villosonervata Opiz","parent2","Mentha spicata","2cd4p9h.vna","AR","Arch-denizen","native"
"Rorippa austriaca x sylvestris = R. x armoracioides (Tausch) Fuss","2cd4p9h.cz3","Rorippa x armoracioides (Tausch) Fuss","parent1","Rorippa austriaca",NA,NA,"Neo-natd","neophyte"
"Rorippa austriaca x sylvestris = R. x armoracioides (Tausch) Fuss","2cd4p9h.cz3","Rorippa x armoracioides (Tausch) Fuss","parent2","Rorippa sylvestris","2cd4p9h.m0k","N","N","native"
"Ranunculus omiophyllus x peltatus = R. x hiltonii H.Groves & J.Groves","2cd4p9h.cz9","Ranunculus x hiltonii H.Groves & J.Groves","parent1","Ranunculus omiophyllus","2cd4p9h.1p1","N","N","native"
"Ranunculus omiophyllus x peltatus = R. x hiltonii H.Groves & J.Groves","2cd4p9h.cz9","Ranunculus x hiltonii H.Groves & J.Groves","parent2","Ranunculus peltatus","2cd4p9h.fm5","N","N","native"
"Ranunculus fluitans x peltatus = R. x kelchoensis S.D.Webster","2cd4p9h.czc","Ranunculus x kelchoensis S.D.Webster","parent1","Ranunculus fluitans","2cd4p9h.960","N","N","native"
"Ranunculus fluitans x peltatus = R. x kelchoensis S.D.Webster","2cd4p9h.czc","Ranunculus x kelchoensis S.D.Webster","parent2","Ranunculus peltatus","2cd4p9h.fm5","N","N","native"
"Salicornia disarticulata x ramosissima = S. x marshallii (Lambion & Vanderp.) Stace","2cd4p9h.czx","Salicornia x marshallii (Lambion & Vanderp.) Stace","parent1","Salicornia disarticulata",NA,NA,"N","native"
"Salicornia disarticulata x ramosissima = S. x marshallii (Lambion & Vanderp.) Stace","2cd4p9h.czx","Salicornia x marshallii (Lambion & Vanderp.) Stace","parent2","Salicornia ramosissima","2cd4p9h.cvc","N",NA,"native"
"Rosa canina x tomentella = R. x dumetorum Thuill.","2cd4p9h.d0h","Rosa x dumetorum Thuill.","parent1","Rosa canina","2cd4p9h.1qz","N","N","native"
"Rosa canina x tomentella = R. x dumetorum Thuill.","2cd4p9h.d0h","Rosa x dumetorum Thuill.","parent1","Rosa canina","2cd4p9h.vz3","N","N","native"
"Rosa canina x tomentella = R. x dumetorum Thuill.","2cd4p9h.d0h","Rosa x dumetorum Thuill.","parent2","Rosa tomentella",NA,NA,"N","native"
"Rosa canina x tomentosa = R. x scabriuscula Sm.","2cd4p9h.d0k","Rosa x scabriuscula Sm.","parent1","Rosa canina","2cd4p9h.1qz","N","N","native"
"Rosa canina x tomentosa = R. x scabriuscula Sm.","2cd4p9h.d0k","Rosa x scabriuscula Sm.","parent1","Rosa canina","2cd4p9h.vz3","N","N","native"
"Rosa canina x tomentosa = R. x scabriuscula Sm.","2cd4p9h.d0k","Rosa x scabriuscula Sm.","parent2","Rosa tomentosa","2cd4p9h.chw","N","N","native"
"Rosa rubiginosa x sherardii = R. x suberecta (Woods) Ley","2cd4p9h.d0t","Rosa x suberecta (Woods) Ley","parent1","Rosa rubiginosa","2cd4p9h.fna","N","N","native"
"Rosa rubiginosa x sherardii = R. x suberecta (Woods) Ley","2cd4p9h.d0t","Rosa x suberecta (Woods) Ley","parent1","Rosa rubiginosa","2cd4p9h.p3h","N","N","native"
"Rosa rubiginosa x sherardii = R. x suberecta (Woods) Ley","2cd4p9h.d0t","Rosa x suberecta (Woods) Ley","parent2","Rosa sherardii","2cd4p9h.96v","N","N","native"
"Epilobium hirsutum x roseum = E. x goerzii Rubner","2cd4p9h.d14","Epilobium x goerzii Rubner","parent1","Epilobium hirsutum","2cd4p9h.vep","N","N","native"
"Epilobium hirsutum x roseum = E. x goerzii Rubner","2cd4p9h.d14","Epilobium x goerzii Rubner","parent2","Epilobium roseum","2cd4p9h.xv9","N","N","native"
"Epilobium hirsutum x palustre = E. x waterfallii E.S.Marshall","2cd4p9h.d17","Epilobium x waterfallii E.S.Marshall","parent1","Epilobium hirsutum","2cd4p9h.vep","N","N","native"
"Epilobium hirsutum x palustre = E. x waterfallii E.S.Marshall","2cd4p9h.d17","Epilobium x waterfallii E.S.Marshall","parent2","Epilobium palustre","2cd4p9h.52k","N","N","native"
"Epilobium montanum x obscurum = E. x aggregatum Čelak.","2cd4p9h.d1a","Epilobium x aggregatum Čelak.","parent1","Epilobium montanum","2cd4p9h.ves","N","N","native"
"Epilobium montanum x obscurum = E. x aggregatum Čelak.","2cd4p9h.d1a","Epilobium x aggregatum Čelak.","parent2","Epilobium obscurum","2cd4p9h.bzm","N","N","native"
"Epilobium lanceolatum x roseum = E. x abortivum Hausskn.","2cd4p9h.d1d","Epilobium x abortivum Hausskn.","parent1","Epilobium lanceolatum","2cd4p9h.yka","N","N","native"
"Epilobium lanceolatum x roseum = E. x abortivum Hausskn.","2cd4p9h.d1d","Epilobium x abortivum Hausskn.","parent2","Epilobium roseum","2cd4p9h.xv9","N","N","native"
"Betula nana x pubescens = B. x intermedia Thomas ex Gaudin","2cd4p9h.d1g","Betula x intermedia Thomas ex Gaudin","parent1","Betula nana","2cd4p9h.4q0","N","N","native"
"Betula nana x pubescens = B. x intermedia Thomas ex Gaudin","2cd4p9h.d1g","Betula x intermedia Thomas ex Gaudin","parent2","Betula pubescens","2cd4p9h.bmf","N","N","native"
"Verbascum lychnitis x thapsus = V. x thapsi L.","2cd4p9h.d1w","Verbascum x thapsi L.","parent1","Verbascum lychnitis","2cd4p9h.cyf","N","N","native"
"Verbascum lychnitis x thapsus = V. x thapsi L.","2cd4p9h.d1w","Verbascum x thapsi L.","parent2","Verbascum thapsus","2cd4p9h.w59","N","N","native"
"Cirsium arvense x palustre = C. x celakovskianum Knaf","2cd4p9h.d1p","Cirsium x celakovskianum Knaf","parent1","Cirsium arvense","2cd4p9h.8hh","N","N","native"
"Cirsium arvense x palustre = C. x celakovskianum Knaf","2cd4p9h.d1p","Cirsium x celakovskianum Knaf","parent2","Cirsium palustre","2cd4p9h.8hn","N","N","native"
"Pilosella officinarum x peleteriana = P. x longisquama (Peter) Holub","2cd4p9h.d1s","Pilosella x longisquama (Peter) Holub","parent1","Pilosella officinarum","2cd4p9h.8p6","N","N","native"
"Pilosella officinarum x peleteriana = P. x longisquama (Peter) Holub","2cd4p9h.d1s","Pilosella x longisquama (Peter) Holub","parent2","Pilosella peleteriana","2cd4p9h.mwp","N","N","native"
"Ophrys apifera x fuciflora = O. x albertiana E.G.Camus","2cd4p9h.d20","Ophrys x albertiana E.G.Camus","parent1","Ophrys apifera","2cd4p9h.5fd","N","N","native"
"Ophrys apifera x fuciflora = O. x albertiana E.G.Camus","2cd4p9h.d20","Ophrys x albertiana E.G.Camus","parent2","Ophrys fuciflora","2cd4p9h.91k","N","N","native"
"Orchis militaris x simia = O. x beyrichii A.Kern.","2cd4p9h.d26","Orchis x beyrichii A.Kern.","parent1","Orchis militaris","2cd4p9h.r3z","N","N","native"
"Orchis militaris x simia = O. x beyrichii A.Kern.","2cd4p9h.d26","Orchis x beyrichii A.Kern.","parent2","Orchis simia","2cd4p9h.fv0","N","N","native"
"Dactylorhiza fuchsii x purpurella = D. x venusta (T.Stephenson & T.A.Stephenson) Soó","2cd4p9h.d2c","Dactylorhiza x venusta (T.Stephenson & T.A.Stephenson) Soó","parent1","Dactylorhiza fuchsii","2cd4p9h.xh4","N","N","native"
"Dactylorhiza fuchsii x purpurella = D. x venusta (T.Stephenson & T.A.Stephenson) Soó","2cd4p9h.d2c","Dactylorhiza x venusta (T.Stephenson & T.A.Stephenson) Soó","parent2","Dactylorhiza purpurella","2cd4p9h.xhg","N","N","native"
"Dactylorhiza incarnata x traunsteinerioides = D. x dufftii","2cd4p9h.d2v","Dactylorhiza x dufftii","parent1","Dactylorhiza incarnata","2cd4p9h.f72","N","N","native"
"Dactylorhiza incarnata x traunsteinerioides = D. x dufftii","2cd4p9h.d2v","Dactylorhiza x dufftii","parent2","Dactylorhiza traunsteinerioides",NA,NA,"N","native"
"Dactylorhiza incarnata x traunsteineri = D. x dufftii (Hausskn.) Peitz","2cd4p9h.d2v","Dactylorhiza x dufftii (Hausskn.) Peitz","parent1","Dactylorhiza incarnata","2cd4p9h.f72","N","N","native"
"Dactylorhiza incarnata x traunsteineri = D. x dufftii (Hausskn.) Peitz","2cd4p9h.d2v","Dactylorhiza x dufftii (Hausskn.) Peitz","parent2","Dactylorhiza traunsteineri","2cd4p9h.7mxs7t","N",NA,"native"
"Carex divulsa subsp. divulsa x remota = C. x emmae L.Gross","2cd4p9h.d2r","Carex x emmae L.Gross","parent1","Carex divulsa subsp. divulsa",NA,NA,NA,NA
"Carex divulsa subsp. divulsa x remota = C. x emmae L.Gross","2cd4p9h.d2r","Carex x emmae L.Gross","parent2","Carex remota","2cd4p9h.4sm","N","N","native"
"Calamagrostis canescens x stricta = C. x gracilescens (Blytt) Blytt","2cd4p9h.d32","Calamagrostis x gracilescens (Blytt) Blytt","parent1","Calamagrostis canescens","2cd4p9h.f2s","N","N","native"
"Calamagrostis canescens x stricta = C. x gracilescens (Blytt) Blytt","2cd4p9h.d32","Calamagrostis x gracilescens (Blytt) Blytt","parent2","Calamagrostis stricta","2cd4p9h.v9f","N","N","native"
"Epilobium obscurum x brunnescens = E. x obscurescens Kitchener & McKean","2cd4p9h.d8z","Epilobium x obscurescens Kitchener & McKean","parent1","Epilobium obscurum","2cd4p9h.bzm","N","N","native"
"Epilobium obscurum x brunnescens = E. x obscurescens Kitchener & McKean","2cd4p9h.d8z","Epilobium x obscurescens Kitchener & McKean","parent2","Epilobium brunnescens","2cd4p9h.52n","AN","Neo-natd","neophyte"
"Rosa canina x sherardii = R. x rothschildii Druce","2cd4p9h.dv2","Rosa x rothschildii Druce","parent1","Rosa canina","2cd4p9h.1qz","N","N","native"
"Rosa canina x sherardii = R. x rothschildii Druce","2cd4p9h.dv2","Rosa x rothschildii Druce","parent1","Rosa canina","2cd4p9h.vz3","N","N","native"
"Rosa canina x sherardii = R. x rothschildii Druce","2cd4p9h.dv2","Rosa x rothschildii Druce","parent2","Rosa sherardii","2cd4p9h.96v","N","N","native"
"Epilobium montanum x brunnescens = E. x confusilobum Kitchener & McKean","2cd4p9h.dwg","Epilobium x confusilobum Kitchener & McKean","parent1","Epilobium montanum","2cd4p9h.ves","N","N","native"
"Epilobium montanum x brunnescens = E. x confusilobum Kitchener & McKean","2cd4p9h.dwg","Epilobium x confusilobum Kitchener & McKean","parent2","Epilobium brunnescens","2cd4p9h.52n","AN","Neo-natd","neophyte"
"Rosa arvensis x obtusifolia = R. x rouyana Duffort ex Rouy","2cd4p9h.dkx","Rosa x rouyana Duffort ex Rouy","parent1","Rosa arvensis","2cd4p9h.96c","N","N","native"
"Rosa arvensis x obtusifolia = R. x rouyana Duffort ex Rouy","2cd4p9h.dkx","Rosa x rouyana Duffort ex Rouy","parent2","Rosa obtusifolia","2cd4p9h.fvvy2a","N",NA,"native"
"Potamogeton natans x nodosus = P. x schreberi G.Fisch.","2cd4p9h.dp4","Potamogeton x schreberi G.Fisch.","parent1","Potamogeton natans","2cd4p9h.1mw","N","N","native"
"Potamogeton natans x nodosus = P. x schreberi G.Fisch.","2cd4p9h.dp4","Potamogeton x schreberi G.Fisch.","parent2","Potamogeton nodosus","2cd4p9h.1mm","N","N","native"
"Cotoneaster conspicuus x dammeri = C. x suecicus G.Klotz","2cd4p9h.e0a","Cotoneaster x suecicus G.Klotz","parent1","Cotoneaster conspicuus",NA,NA,"Neo-natd","neophyte"
"Cotoneaster conspicuus x dammeri = C. x suecicus G.Klotz","2cd4p9h.e0a","Cotoneaster x suecicus G.Klotz","parent2","Cotoneaster dammeri",NA,NA,"Neo-surv","neophyte"
"Iris filifolia x tingitana = I. x hollandica H.R.Wehrh.","2cd4p9h.e28","Iris x hollandica H.R.Wehrh.","parent1","Iris filifolia",NA,NA,NA,NA
"Iris filifolia x tingitana = I. x hollandica H.R.Wehrh.","2cd4p9h.e28","Iris x hollandica H.R.Wehrh.","parent2","Iris tingitana",NA,NA,NA,NA
"Laburnum alpinum x anagyroides = L. x watereri (Wettst.) Dippel","2cd4p9h.e2e","Laburnum x watereri (Wettst.) Dippel","parent1","Laburnum alpinum",NA,NA,"Neo-surv","neophyte"
"Laburnum alpinum x anagyroides = L. x watereri (Wettst.) Dippel","2cd4p9h.e2e","Laburnum x watereri (Wettst.) Dippel","parent2","Laburnum anagyroides","2cd4p9h.fdk","AN","Neo-natd","neophyte"
"Potentilla erecta x reptans = P. x italica Lehm.","2cd4p9h.e3p","Potentilla x italica Lehm.","parent1","Potentilla erecta","2cd4p9h.5v7","N","N","native"
"Potentilla erecta x reptans = P. x italica Lehm.","2cd4p9h.e3p","Potentilla x italica Lehm.","parent2","Potentilla reptans","2cd4p9h.94k","N","N","native"
"Ranunculus aquatilis x peltatus = R. x virzionensis A.Félix","2cd4p9h.e46","Ranunculus x virzionensis A.Félix","parent1","Ranunculus aquatilis","2cd4p9h.5vs","N","N","native"
"Ranunculus aquatilis x peltatus = R. x virzionensis A.Félix","2cd4p9h.e46","Ranunculus x virzionensis A.Félix","parent1","Ranunculus aquatilis","2cd4p9h.cg2","N","N","native"
"Ranunculus aquatilis x peltatus = R. x virzionensis A.Félix","2cd4p9h.e46","Ranunculus x virzionensis A.Félix","parent2","Ranunculus peltatus","2cd4p9h.fm5","N","N","native"
"Rumex cristatus x palustris = R. x akeroydii Rumsey","2cd4p9h.e4v","Rumex x akeroydii Rumsey","parent1","Rumex cristatus",NA,NA,"Neo-natd","neophyte"
"Rumex cristatus x palustris = R. x akeroydii Rumsey","2cd4p9h.e4v","Rumex x akeroydii Rumsey","parent2","Rumex palustris","2cd4p9h.fnw","N","N","native"
"Sorbus aucuparia x intermedia = S. x liljeforsii T.C.G.Rich","2cd4p9h.e52","Sorbus x liljeforsii T.C.G.Rich","parent1","Sorbus aucuparia","2cd4p9h.w2c","N","N","native"
"Sorbus aucuparia x intermedia = S. x liljeforsii T.C.G.Rich","2cd4p9h.e52","Sorbus x liljeforsii T.C.G.Rich","parent2","Sorbus intermedia","2cd4p9h.22h","AN","Neo-natd","neophyte"
"Viburnum lantana x rhytidophyllum = V. x rhytidophylloides J.V.Suringar","2cd4p9h.e5n","Viburnum x rhytidophylloides J.V.Suringar","parent1","Viburnum lantana","2cd4p9h.5pr","N","N","native"
"Viburnum lantana x rhytidophyllum = V. x rhytidophylloides J.V.Suringar","2cd4p9h.e5n","Viburnum x rhytidophylloides J.V.Suringar","parent2","Viburnum rhytidophyllum",NA,NA,"Neo-surv","neophyte"
"Populus nigra 'italica' x laurifolia = P. x berolinensis (K.Koch) Dippel","2cd4p9h.e6w","Populus x berolinensis (K.Koch) Dippel","parent1","Populus nigra 'italica'",NA,NA,NA,NA
"Populus nigra 'italica' x laurifolia = P. x berolinensis (K.Koch) Dippel","2cd4p9h.e6w","Populus x berolinensis (K.Koch) Dippel","parent2","Populus laurifolia",NA,NA,NA,NA
"Rubus idaeus x phoenicolasius = R. x paxii Focke","2cd4p9h.e6m","Rubus x paxii Focke","parent1","Rubus idaeus","2cd4p9h.m0t","N","N","native"
"Rubus idaeus x phoenicolasius = R. x paxii Focke","2cd4p9h.e6m","Rubus x paxii Focke","parent2","Rubus phoenicolasius",NA,NA,"Neo-natd","neophyte"
"Epilobium lanceolatum x tetragonum = E. x fallacinum Hausskn.","2cd4p9h.eg0","Epilobium x fallacinum Hausskn.","parent1","Epilobium lanceolatum","2cd4p9h.yka","N","N","native"
"Epilobium lanceolatum x tetragonum = E. x fallacinum Hausskn.","2cd4p9h.eg0","Epilobium x fallacinum Hausskn.","parent2","Epilobium tetragonum","2cd4p9h.7aw","N","N","native"
"Erica carnea x erigena = E. x darleyensis Bean","2cd4p9h.eh8","Erica x darleyensis Bean","parent1","Erica carnea",NA,NA,"Neo-surv","neophyte"
"Erica carnea x erigena = E. x darleyensis Bean","2cd4p9h.eh8","Erica x darleyensis Bean","parent2","Erica erigena","2cd4p9h.43e","N","N","native"
"Rumex cuneifolius x obtusifolius = R. x cornubiensis Holyoak","2cd4p9h.eke","Rumex x cornubiensis Holyoak","parent1","Rumex cuneifolius",NA,NA,"Neo-natd","neophyte"
"Rumex cuneifolius x obtusifolius = R. x cornubiensis Holyoak","2cd4p9h.eke","Rumex x cornubiensis Holyoak","parent2","Rumex obtusifolius","2cd4p9h.m1d","N","N","native"
"Bergenia crassifolia x ciliata = B. x schmidtii (Regel) Silva Tar.","2cd4p9h.exg","Bergenia x schmidtii (Regel) Silva Tar.","parent1","Bergenia crassifolia",NA,NA,"Neo-surv","neophyte"
"Bergenia crassifolia x ciliata = B. x schmidtii (Regel) Silva Tar.","2cd4p9h.exg","Bergenia x schmidtii (Regel) Silva Tar.","parent2","Bergenia ciliata",NA,NA,NA,NA
"Rumex maritimus x palustris = R. x henrardii Danser","2cd4p9h.en8","Rumex x henrardii Danser","parent1","Rumex maritimus","2cd4p9h.p3t","N","N","native"
"Rumex maritimus x palustris = R. x henrardii Danser","2cd4p9h.en8","Rumex x henrardii Danser","parent2","Rumex palustris","2cd4p9h.fnw","N","N","native"
"Macleaya cordata x microcarpa = M. x kewensis Turrill","2cd4p9h.eqt","Macleaya x kewensis Turrill","parent1","Macleaya cordata",NA,NA,NA,NA
"Macleaya cordata x microcarpa = M. x kewensis Turrill","2cd4p9h.eqt","Macleaya x kewensis Turrill","parent2","Macleaya microcarpa",NA,NA,NA,NA
"Asplenium adiantum-nigrum x onopteris = A. x ticinense D.E.Mey.","2cd4p9h.et8","Asplenium x ticinense D.E.Mey.","parent1","Asplenium adiantum-nigrum","2cd4p9h.4w1","N","N","native"
"Asplenium adiantum-nigrum x onopteris = A. x ticinense D.E.Mey.","2cd4p9h.et8","Asplenium x ticinense D.E.Mey.","parent1","Asplenium adiantum-nigrum","2cd4p9h.x66","N","N","native"
"Asplenium adiantum-nigrum x onopteris = A. x ticinense D.E.Mey.","2cd4p9h.et8","Asplenium x ticinense D.E.Mey.","parent2","Asplenium onopteris","2cd4p9h.r0v","N","N","native"
"Equisetum palustre x telmateia = E. x font-queri Rothm.","2cd4p9h.ete","Equisetum x font-queri Rothm.","parent1","Equisetum palustre","2cd4p9h.4k0","N","N","native"
"Equisetum palustre x telmateia = E. x font-queri Rothm.","2cd4p9h.ete","Equisetum x font-queri Rothm.","parent2","Equisetum telmateia","2cd4p9h.4k3","N","N","native"
"Circaea alpina x lutetiana = C. x intermedia Ehrh.","2cd4p9h.f5p","Circaea x intermedia Ehrh.","parent1","Circaea alpina","2cd4p9h.4zb","N","N","native"
"Circaea alpina x lutetiana = C. x intermedia Ehrh.","2cd4p9h.f5p","Circaea x intermedia Ehrh.","parent2","Circaea lutetiana","2cd4p9h.vbs","N","N","native"
"Crocosmia aurea x pottsii = C. x crocosmiiflora (Lemoine) N.E.Br.","2cd4p9h.f6v","Crocosmia x crocosmiiflora (Lemoine) N.E.Br.","parent1","Crocosmia aurea",NA,NA,NA,NA
"Crocosmia aurea x pottsii = C. x crocosmiiflora (Lemoine) N.E.Br.","2cd4p9h.f6v","Crocosmia x crocosmiiflora (Lemoine) N.E.Br.","parent2","Crocosmia pottsii",NA,NA,"Neo-natd","neophyte"
