"key","taxonId.x","hybrid_species","parents","name","taxonId.y","native_status","StaceIV_nativity","native_combined"
"Rosa caesia x micrantha = R. x longicolla Ravaud ex Rouy","2cd4p9h.7dg","Rosa x longicolla Ravaud ex Rouy","parent1","Rosa caesia","2cd4p9h.e49","N","N","native"
"Rosa caesia x micrantha = R. x longicolla Ravaud ex Rouy","2cd4p9h.7dg","Rosa x longicolla Ravaud ex Rouy","parent2","Rosa micrantha","2cd4p9h.chg","N","N","native"
"Rumex aquaticus x sanguineus = R. x dumulosus Hausskn.","2cd4p9h.7dm","Rumex x dumulosus Hausskn.","parent1","Rumex aquaticus","2cd4p9h.vzx","N","N","native"
"Rumex aquaticus x sanguineus = R. x dumulosus Hausskn.","2cd4p9h.7dm","Rumex x dumulosus Hausskn.","parent2","Rumex sanguineus","2cd4p9h.5x1","N","N","native"
"Lavandula angustifolia x latifolia = L. x intermedia Loisel.","2cd4p9h.7fb","Lavandula x intermedia Loisel.","parent1","Lavandula angustifolia",NA,NA,"Neo-natd","neophyte"
"Lavandula angustifolia x latifolia = L. x intermedia Loisel.","2cd4p9h.7fb","Lavandula x intermedia Loisel.","parent2","Lavandula latifolia",NA,NA,NA,NA
"Epilobium montanum x pedunculare = E. x kitcheneri McKean","2cd4p9h.7n0","Epilobium x kitcheneri McKean","parent1","Epilobium montanum","2cd4p9h.ves","N","N","native"
"Epilobium montanum x pedunculare = E. x kitcheneri McKean","2cd4p9h.7n0","Epilobium x kitcheneri McKean","parent2","Epilobium pedunculare",NA,NA,"Neo-natd","neophyte"
"Epilobium montanum x palustre = E. x montaniforme Knaf ex Čelak.","2cd4p9h.7n9","Epilobium x montaniforme Knaf ex Čelak.","parent1","Epilobium montanum","2cd4p9h.ves","N","N","native"
"Epilobium montanum x palustre = E. x montaniforme Knaf ex Čelak.","2cd4p9h.7n9","Epilobium x montaniforme Knaf ex Čelak.","parent2","Epilobium palustre","2cd4p9h.52k","N","N","native"
"Pinguicula grandiflora x vulgaris = P. x scullyi Druce","2cd4p9h.7pd","Pinguicula x scullyi Druce","parent1","Pinguicula grandiflora","2cd4p9h.441","N","N","native"
"Pinguicula grandiflora x vulgaris = P. x scullyi Druce","2cd4p9h.7pd","Pinguicula x scullyi Druce","parent2","Pinguicula vulgaris","2cd4p9h.p02","N","N","native"
