id	relatedResourceID	relationshipOfResource
5222	5219	hybrid parent of
5264	5243	hybrid parent of
5264	5249	hybrid parent of
5286	5275	hybrid parent of
5286	5278	hybrid parent of
5324	5304	hybrid parent of
5324	5308	hybrid parent of
5337	5326	hybrid parent of
5337	5331	hybrid parent of
5367	5361	hybrid parent of
5367	5364	hybrid parent of
5368	5361	hybrid parent of
5368	5365	hybrid parent of
5369	5364	hybrid parent of
5369	5365	hybrid parent of
5385	5384	hybrid parent of
5385	5390	hybrid parent of
5386	5384	hybrid parent of
5386	5398	hybrid parent of
5389	5388	hybrid parent of
5389	5390	hybrid parent of
5394	5392	hybrid parent of
5394	5400	hybrid parent of
5399	5398	hybrid parent of
5399	5400	hybrid parent of
5401	5395	hybrid parent of
5401	5400	hybrid parent of
5402	5387	hybrid parent of
5402	5388	hybrid parent of
5403	5390	hybrid parent of
5403	5398	hybrid parent of
5404	5387	hybrid parent of
5404	5392	hybrid parent of
5405	5388	hybrid parent of
5405	5400	hybrid parent of
5409	5387	hybrid parent of
5409	5400	hybrid parent of
5410	5390	hybrid parent of
5410	5400	hybrid parent of
5411	5387	hybrid parent of
5411	5398	hybrid parent of
5418	5414	hybrid parent of
5418	5417	hybrid parent of
5419	5413	hybrid parent of
5419	5414	hybrid parent of
5437	5424	hybrid parent of
5437	5433	hybrid parent of
5438	5424	hybrid parent of
5438	5426	hybrid parent of
5450	5441	hybrid parent of
5450	5444	hybrid parent of
5451	5439	hybrid parent of
5451	5441	hybrid parent of
5452	5444	hybrid parent of
5452	5447	hybrid parent of
5453	5440	hybrid parent of
5453	5441	hybrid parent of
5480	5468	hybrid parent of
5480	5470	hybrid parent of
5482	5466	hybrid parent of
5482	5467	hybrid parent of
5489	5486	hybrid parent of
5489	5488	hybrid parent of
5493	5491	hybrid parent of
5493	5492	hybrid parent of
5542	5540	hybrid parent of
5542	5541	hybrid parent of
5554	5551	hybrid parent of
5554	5552	hybrid parent of
5564	5557	hybrid parent of
5564	5561	hybrid parent of
5565	5558	hybrid parent of
5565	5563	hybrid parent of
5584	5568	hybrid parent of
5584	5575	hybrid parent of
5772	5763	hybrid parent of
5772	5766	hybrid parent of
5773	5766	hybrid parent of
5773	5770	hybrid parent of
5899	5895	hybrid parent of
5899	5897	hybrid parent of
5973	5959	hybrid parent of
5973	5965	hybrid parent of
5975	5970	hybrid parent of
5975	5972	hybrid parent of
5976	5959	hybrid parent of
5976	5960	hybrid parent of
5977	5961	hybrid parent of
5977	5972	hybrid parent of
5979	5960	hybrid parent of
5979	5965	hybrid parent of
6007	5994	hybrid parent of
6007	6004	hybrid parent of
6008	5992	hybrid parent of
6008	5994	hybrid parent of
6191	6188	hybrid parent of
6191	6189	hybrid parent of
6230	6218	hybrid parent of
6230	6225	hybrid parent of
6240	6235	hybrid parent of
6240	6238	hybrid parent of
6316	6247	hybrid parent of
6316	6252	hybrid parent of
6317	6252	hybrid parent of
6317	6257	hybrid parent of
6318	6247	hybrid parent of
6318	6257	hybrid parent of
6319	6252	hybrid parent of
6319	6264	hybrid parent of
6320	6247	hybrid parent of
6320	6295	hybrid parent of
6347	6346	hybrid parent of
6347	6348	hybrid parent of
6396	6394	hybrid parent of
