id	relatedResourceID	relationshipOfResource
4824	4941	hybrid parent of
4824	4822	hybrid parent of
4947	4941	hybrid parent of
4947	5101	hybrid parent of
5173	4941	hybrid parent of
5173	4774	hybrid parent of
30995	8927	hybrid parent of
30995	8944	hybrid parent of
31170	8944	hybrid parent of
31170	8947	hybrid parent of
3502	3486	hybrid parent of
3502	3482	hybrid parent of
12209	3472	hybrid parent of
12209	3476	hybrid parent of
5406	5388	hybrid parent of
5406	5398	hybrid parent of
2663	2659	hybrid parent of
2663	2662	hybrid parent of
31367	5304	hybrid parent of
31367	5322	hybrid parent of
31374	6295	hybrid parent of
31374	6310	hybrid parent of
31391	4720	hybrid parent of
31391	4717	hybrid parent of
31521	6862	hybrid parent of
31521	6864	hybrid parent of
31551	6217	hybrid parent of
31551	6219	hybrid parent of
32022	5059	hybrid parent of
32022	5061	hybrid parent of
4710	4705	hybrid parent of
4710	4707	hybrid parent of
5397	5396	hybrid parent of
5397	5398	hybrid parent of
5407	5396	hybrid parent of
5407	5388	hybrid parent of
5408	5396	hybrid parent of
5408	5400	hybrid parent of
5454	5396	hybrid parent of
5454	5433	hybrid parent of
32204	7368	hybrid parent of
32204	7369	hybrid parent of
32271	6215	hybrid parent of
32271	32196	hybrid parent of
32272	4959	hybrid parent of
32272	5055	hybrid parent of
32437	8752	hybrid parent of
32437	8758	hybrid parent of
32465	27639	hybrid parent of
32465	3486	hybrid parent of
32518	5363	hybrid parent of
32518	5365	hybrid parent of
32530	3530	hybrid parent of
32530	3550	hybrid parent of
32528	3530	hybrid parent of
32528	3568	hybrid parent of
32531	6215	hybrid parent of
32531	32196	hybrid parent of
32579	8763	hybrid parent of
32579	8765	hybrid parent of
5484	5478	hybrid parent of
5484	5470	hybrid parent of
5483	5478	hybrid parent of
5483	5468	hybrid parent of
2976	32652	hybrid parent of
2976	2964	hybrid parent of
29118	30729	hybrid parent of
29118	3239	hybrid parent of
32195	3464	hybrid parent of
32195	3499	hybrid parent of
32707	4951	hybrid parent of
32707	5014	hybrid parent of
32710	3565	hybrid parent of
32710	3530	hybrid parent of
32711	3573	hybrid parent of
32711	3530	hybrid parent of
32709	3579	hybrid parent of
32709	3555	hybrid parent of
32712	3552	hybrid parent of
32712	3529	hybrid parent of
32713	3565	hybrid parent of
32713	3552	hybrid parent of
32714	3579	hybrid parent of
32714	3552	hybrid parent of
32716	3593	hybrid parent of
32716	3555	hybrid parent of
32717	3573	hybrid parent of
32717	3570	hybrid parent of
32718	3593	hybrid parent of
32718	3579	hybrid parent of
32739	4976	hybrid parent of
32739	4761	hybrid parent of
6228	22088	hybrid parent of
6228	6225	hybrid parent of
6231	22088	hybrid parent of
6231	6218	hybrid parent of
6233	22088	hybrid parent of
6233	6219	hybrid parent of
6227	22088	hybrid parent of
6227	6216	hybrid parent of
31876	22088	hybrid parent of
31876	29176	hybrid parent of
6407	6400	hybrid parent of
16998	6405	hybrid parent of
16998	6402	hybrid parent of
6411	6405	hybrid parent of
6411	6402	hybrid parent of
6411	6400	hybrid parent of
32752	6402	hybrid parent of
32752	6400	hybrid parent of
22114	7173	hybrid parent of
22114	7170	hybrid parent of
