species_name_submitted,key_in_bsbi
Heracleum mantegazzianum x sphondylium,Heracleum sphondylium x mantegazzianum
Juncus inflexus x pallidus,
Juncus effusus x pallidus,Juncus effusus x pallidus
Festuca pratensis x Lolium multiflorum (x Festulolium braunii),Festuca pratensis x Lolium multiflorum = X Festulolium braunii (K.Richt.) A.Camus
Festuca arundinacea x Lolium multiflorum,Festuca arundinacea x Lolium multiflorum
Agrostis capillaris x castellana (A. x fouilladei),Agrostis capillaris x castellana = A. x fouilladeana Lambinon & Verloove
Agrostis stolonifera x Polypogon viridis (x Agropogon robinsonii),Agrostis stolonifera x Polypogon viridis = X Agropogon robinsonii (Druce) Melderis & D.C.McClint.
Spartina alterniflora x maritima (S. x townsendii),Spartina alterniflora x maritima = S. x townsendii H.Groves & J.Groves
Spartina anglica,
Medicago sativa subsp. varia,Medicago sativa subsp. falcata x subsp. sativa = Medicago sativa nothosubsp. varia (Martyn) Arcang.
