"key"	"dataValue"	"taxonId"	"origTaxonId"	"prefTaxonName"	"origTaxon"	"origQualifier"
"Carex rupestris Bellardi ex All."	"N"	"2cd4p9h.y3"	"2cd4p9h.y3"	"Carex rupestris Bellardi ex All."	"Carex rupestris"	
"Carex strigosa Huds."	"N"	"2cd4p9h.y6"	"2cd4p9h.y6"	"Carex strigosa Huds."	"Carex strigosa"	
"Carex vaginata Tausch"	"N"	"2cd4p9h.y9"	"2cd4p9h.y9"	"Carex vaginata Tausch"	"Carex vaginata"	
"Carpinus betulus L."	"N"	"2cd4p9h.yf"	"2cd4p9h.yf"	"Carpinus betulus L."	"Carpinus betulus"	
"Castanea sativa Mill."	"AR"	"2cd4p9h.yx"	"2cd4p9h.yx"	"Castanea sativa Mill."	"Castanea sativa"	
"Centaurium littorale (Turner ex Sm.) Gilmour"	"N"	"2cd4p9h.yr"	"2cd4p9h.yr"	"Centaurium littorale (Turner ex Sm.) Gilmour"	"Centaurium littorale"	
"Chaerophyllum temulum L."	"N"	"2cd4p9h.ph"	"2cd4p9h.ph"	"Chaerophyllum temulum L."	"Chaerophyllum temulum"	
"Chenopodium album L. agg."	"N"	"2cd4p9h.pn"	"2cd4p9h.pn"	"Chenopodium album L. agg."	"Chenopodium album"	"agg."
"Chenopodium album L. s.s."	"N"	"2cd4p9h.pq"	"2cd4p9h.pq"	"Chenopodium album L. s.s."	"Chenopodium album"	"s.s."
"Leucanthemum vulgare Lam."	"N"	"2cd4p9h.q4"	"2cd4p9h.q4"	"Leucanthemum vulgare Lam."	"Leucanthemum vulgare"	
"Cirsium vulgare (Savi) Ten."	"N"	"2cd4p9h.qd"	"2cd4p9h.qd"	"Cirsium vulgare (Savi) Ten."	"Cirsium vulgare"	
"Convolvulus arvensis L."	"N"	"2cd4p9h.qs"	"2cd4p9h.qs"	"Convolvulus arvensis L."	"Convolvulus arvensis"	
"Corrigiola litoralis L."	"N"	"2cd4p9h.r3"	"2cd4p9h.r3"	"Corrigiola litoralis L."	"Corrigiola litoralis"	
"Corylus avellana L."	"N"	"2cd4p9h.r9"	"2cd4p9h.r9"	"Corylus avellana L."	"Corylus avellana"	
"Cotoneaster horizontalis Decne."	"AN"	"2cd4p9h.rf"	"2cd4p9h.rf"	"Cotoneaster horizontalis Decne."	"Cotoneaster horizontalis"	
"Crepis capillaris (L.) Wallr."	"N"	"2cd4p9h.rx"	"2cd4p9h.rx"	"Crepis capillaris (L.) Wallr."	"Crepis capillaris"	
"Crepis paludosa (L.) Moench"	"N"	"2cd4p9h.ry"	"2cd4p9h.ry"	"Crepis paludosa (L.) Moench"	"Crepis paludosa"	
"Cynodon dactylon (L.) Pers."	"NA"	"2cd4p9h.s5"	"2cd4p9h.s5"	"Cynodon dactylon (L.) Pers."	"Cynodon dactylon"	
"Dactylorhiza maculata (L.) Soó"	"N"	"2cd4p9h.sq"	"2cd4p9h.sq"	"Dactylorhiza maculata (L.) Soó"	"Dactylorhiza maculata"	
"Physospermum cornubiense (L.) DC."	"N"	"2cd4p9h.t7"	"2cd4p9h.t7"	"Physospermum cornubiense (L.) DC."	"Physospermum cornubiense"	
"Consolida ajacis (L.) Schur"	"AN"	"2cd4p9h.td"	"2cd4p9h.td"	"Consolida ajacis (L.) Schur"	"Consolida ajacis"	
"Drosera rotundifolia L."	"N"	"2cd4p9h.z3"	"2cd4p9h.z3"	"Drosera rotundifolia L."	"Drosera rotundifolia"	
"Hyacinthoides non-scripta (L.) Chouard ex Rothm."	"N"	"2cd4p9h.z9"	"2cd4p9h.z9"	"Hyacinthoides non-scripta (L.) Chouard ex Rothm."	"Hyacinthoides non-scripta"	
"Epilobium parviflorum Schreb."	"N"	"2cd4p9h.zf"	"2cd4p9h.zf"	"Epilobium parviflorum Schreb."	"Epilobium parviflorum"	
"Erigeron karvinskianus DC."	"AN"	"2cd4p9h.zr"	"2cd4p9h.zr"	"Erigeron karvinskianus DC."	"Erigeron karvinskianus"	
"Euonymus europaeus L."	"N"	"2cd4p9h.10h"	"2cd4p9h.10h"	"Euonymus europaeus L."	"Euonymus europaeus"	
"Euphorbia helioscopia L."	"AR"	"2cd4p9h.10t"	"2cd4p9h.10t"	"Euphorbia helioscopia L."	"Euphorbia helioscopia"	
"Euphorbia portlandica L."	"N"	"2cd4p9h.111"	"2cd4p9h.111"	"Euphorbia portlandica L."	"Euphorbia portlandica"	
"Euphrasia micrantha Rchb."	"N"	"2cd4p9h.117"	"2cd4p9h.117"	"Euphrasia micrantha Rchb."	"Euphrasia micrantha"	
"Fumaria capreolata L."	"N"	"2cd4p9h.123"	"2cd4p9h.123"	"Fumaria capreolata L."	"Fumaria capreolata"	
"Fumaria vaillantii Loisel."	"AR"	"2cd4p9h.12f"	"2cd4p9h.12f"	"Fumaria vaillantii Loisel."	"Fumaria vaillantii"	
"Cruciata laevipes Opiz"	"N"	"2cd4p9h.12x"	"2cd4p9h.12x"	"Cruciata laevipes Opiz"	"Cruciata laevipes"	
"Galium sterneri Ehrend."	"N"	"2cd4p9h.12z"	"2cd4p9h.12z"	"Galium sterneri Ehrend."	"Galium sterneri"	
"Galium tricornutum Dandy"	"AR"	"2cd4p9h.138"	"2cd4p9h.138"	"Galium tricornutum Dandy"	"Galium tricornutum"	
"Galium verum L."	"N"	"2cd4p9h.13b"	"2cd4p9h.13b"	"Galium verum L."	"Galium verum"	
"Gaultheria shallon Pursh"	"AN"	"2cd4p9h.13h"	"2cd4p9h.13h"	"Gaultheria shallon Pursh"	"Gaultheria shallon"	
"Gentianella germanica (Willd.) Börner"	"N"	"2cd4p9h.13q"	"2cd4p9h.13q"	"Gentianella germanica (Willd.) Börner"	"Gentianella germanica"	
"Geranium endressii J.Gay"	"AN"	"2cd4p9h.144"	"2cd4p9h.144"	"Geranium endressii J.Gay"	"Geranium endressii"	
"Geranium phaeum L."	"AN"	"2cd4p9h.147"	"2cd4p9h.147"	"Geranium phaeum L."	"Geranium phaeum"	
"Geranium pusillum L."	"N"	"2cd4p9h.14a"	"2cd4p9h.14a"	"Geranium pusillum L."	"Geranium pusillum"	
"Geranium rotundifolium L."	"N"	"2cd4p9h.14d"	"2cd4p9h.14d"	"Geranium rotundifolium L."	"Geranium rotundifolium"	
"Glechoma hederacea L."	"N"	"2cd4p9h.14s"	"2cd4p9h.14s"	"Glechoma hederacea L."	"Glechoma hederacea"	
"Glyceria declinata Bréb."	"N"	"2cd4p9h.153"	"2cd4p9h.153"	"Glyceria declinata Bréb."	"Glyceria declinata"	
"Glyceria maxima (Hartm.) Holmb."	"N"	"2cd4p9h.156"	"2cd4p9h.156"	"Glyceria maxima (Hartm.) Holmb."	"Glyceria maxima"	
"Glyceria notata Chevall."	"N"	"2cd4p9h.159"	"2cd4p9h.159"	"Glyceria notata Chevall."	"Glyceria notata"	
"Gnaphalium uliginosum L."	"N"	"2cd4p9h.15v"	"2cd4p9h.15v"	"Gnaphalium uliginosum L."	"Gnaphalium uliginosum"	
"Helianthemum apenninum (L.) Mill."	"N"	"2cd4p9h.16b"	"2cd4p9h.16b"	"Helianthemum apenninum (L.) Mill."	"Helianthemum apenninum"	
"Heracleum sphondylium L."	"N"	"2cd4p9h.16n"	"2cd4p9h.16n"	"Heracleum sphondylium L."	"Heracleum sphondylium"	
"Hesperis matronalis L."	"AN"	"2cd4p9h.17a"	"2cd4p9h.17a"	"Hesperis matronalis L."	"Hesperis matronalis"	
"Holcus lanatus L."	"N"	"2cd4p9h.17g"	"2cd4p9h.17g"	"Holcus lanatus L."	"Holcus lanatus"	
"Humulus lupulus L."	"N"	"2cd4p9h.17m"	"2cd4p9h.17m"	"Humulus lupulus L."	"Humulus lupulus"	
"Hypericum calycinum L."	"AN"	"2cd4p9h.17s"	"2cd4p9h.17s"	"Hypericum calycinum L."	"Hypericum calycinum"	
"Hypericum perforatum L."	"N"	"2cd4p9h.186"	"2cd4p9h.186"	"Hypericum perforatum L."	"Hypericum perforatum"	
"Hypochaeris maculata L."	"N"	"2cd4p9h.18c"	"2cd4p9h.18c"	"Hypochaeris maculata L."	"Hypochaeris maculata"	
"Hypochaeris radicata L."	"N"	"2cd4p9h.18f"	"2cd4p9h.18f"	"Hypochaeris radicata L."	"Hypochaeris radicata"	
"Impatiens glandulifera Royle"	"AN"	"2cd4p9h.18x"	"2cd4p9h.18x"	"Impatiens glandulifera Royle"	"Impatiens glandulifera"	
"Inula helenium L."	"AR"	"2cd4p9h.18z"	"2cd4p9h.18z"	"Inula helenium L."	"Inula helenium"	
"Inula salicina L."	"N"	"2cd4p9h.192"	"2cd4p9h.192"	"Inula salicina L."	"Inula salicina"	
"Isolepis cernua (Vahl) Roem. & Schult."	"N"	"2cd4p9h.198"	"2cd4p9h.198"	"Isolepis cernua (Vahl) Roem. & Schult."	"Isolepis cernua"	
"Juncus alpinoarticulatus Chaix"	"N"	"2cd4p9h.19e"	"2cd4p9h.19e"	"Juncus alpinoarticulatus Chaix"	"Juncus alpinoarticulatus"	
"Juncus filiformis L."	"N"	"2cd4p9h.19h"	"2cd4p9h.19h"	"Juncus filiformis L."	"Juncus filiformis"	
"Kickxia spuria (L.) Dumort."	"AR"	"2cd4p9h.1a4"	"2cd4p9h.1a4"	"Kickxia spuria (L.) Dumort."	"Kickxia spuria"	
"Koenigia islandica L."	"N"	"2cd4p9h.1aa"	"2cd4p9h.1aa"	"Koenigia islandica L."	"Koenigia islandica"	
"Lamium confertum Fr."	"AR"	"2cd4p9h.1am"	"2cd4p9h.1am"	"Lamium confertum Fr."	"Lamium confertum"	
"Larix decidua Mill."	"AN"	"2cd4p9h.1as"	"2cd4p9h.1as"	"Larix decidua Mill."	"Larix decidua"	
"Lathyrus palustris L."	"N"	"2cd4p9h.1b3"	"2cd4p9h.1b3"	"Lathyrus palustris L."	"Lathyrus palustris"	
"Leersia oryzoides (L.) Sw."	"N"	"2cd4p9h.1bf"	"2cd4p9h.1bf"	"Leersia oryzoides (L.) Sw."	"Leersia oryzoides"	
"Lemna gibba L."	"N"	"2cd4p9h.1bx"	"2cd4p9h.1bx"	"Lemna gibba L."	"Lemna gibba"	
"Leycesteria formosa Wall."	"AN"	"2cd4p9h.1c2"	"2cd4p9h.1c2"	"Leycesteria formosa Wall."	"Leycesteria formosa"	
"Limonium auriculae-ursifolium (Pourr.) Druce"	"N"	"2cd4p9h.1c8"	"2cd4p9h.1c8"	"Limonium auriculae-ursifolium (Pourr.) Druce"	"Limonium auriculae-ursifolium"	
"Limosella aquatica L."	"N"	"2cd4p9h.1cn"	"2cd4p9h.1cn"	"Limosella aquatica L."	"Limosella aquatica"	
"Linaria repens (L.) Mill."	"AR"	"2cd4p9h.1d4"	"2cd4p9h.1d4"	"Linaria repens (L.) Mill."	"Linaria repens"	
"Linnaea borealis L."	"N"	"2cd4p9h.1da"	"2cd4p9h.1da"	"Linnaea borealis L."	"Linnaea borealis"	
"Linum catharticum L."	"N"	"2cd4p9h.1dg"	"2cd4p9h.1dg"	"Linum catharticum L."	"Linum catharticum"	
"Liparis loeselii (L.) Rich."	"N"	"2cd4p9h.1dm"	"2cd4p9h.1dm"	"Liparis loeselii (L.) Rich."	"Liparis loeselii"	
"Lotus corniculatus L."	"N"	"2cd4p9h.1e3"	"2cd4p9h.1e3"	"Lotus corniculatus L."	"Lotus corniculatus"	
"Lycium chinense Mill."	"AN"	"2cd4p9h.1ey"	"2cd4p9h.1ey"	"Lycium chinense Mill."	"Lycium chinense"	
"Lysimachia vulgaris L."	"N"	"2cd4p9h.1ez"	"2cd4p9h.1ez"	"Lysimachia vulgaris L."	"Lysimachia vulgaris"	
"Malus sylvestris (L.) Mill. s.s."	"N"	"2cd4p9h.1f5"	"2cd4p9h.1f5"	"Malus sylvestris (L.) Mill. s.s."	"Malus sylvestris"	"s.s."
"Malva moschata L."	"N"	"2cd4p9h.1fb"	"2cd4p9h.1fb"	"Malva moschata L."	"Malva moschata"	
"Medicago lupulina L."	"N"	"2cd4p9h.1fh"	"2cd4p9h.1fh"	"Medicago lupulina L."	"Medicago lupulina"	
"Melilotus altissimus Thuill."	"AR"	"2cd4p9h.1fn"	"2cd4p9h.1fn"	"Melilotus altissimus Thuill."	"Melilotus altissimus"	
"Menyanthes trifoliata L."	"N"	"2cd4p9h.1g4"	"2cd4p9h.1g4"	"Menyanthes trifoliata L."	"Menyanthes trifoliata"	
"Mercurialis perennis L."	"N"	"2cd4p9h.1ga"	"2cd4p9h.1ga"	"Mercurialis perennis L."	"Mercurialis perennis"	
"Moenchia erecta (L.) P.Gaertn., B.Mey. & Scherb."	"N"	"2cd4p9h.1gm"	"2cd4p9h.1gm"	"Moenchia erecta (L.) P.Gaertn., B.Mey. & Scherb."	"Moenchia erecta"	
"Myosotis sylvatica Ehrh. ex Hoffm."	"N"	"2cd4p9h.1h6"	"2cd4p9h.1h6"	"Myosotis sylvatica Ehrh. ex Hoffm."	"Myosotis sylvatica"	
"Najas flexilis (Willd.) Rostk. & W.L.E.Schmidt"	"N"	"2cd4p9h.1hc"	"2cd4p9h.1hc"	"Najas flexilis (Willd.) Rostk. & W.L.E.Schmidt"	"Najas flexilis"	
"Lysimachia thyrsiflora L."	"N"	"2cd4p9h.1hx"	"2cd4p9h.1hx"	"Lysimachia thyrsiflora L."	"Lysimachia thyrsiflora"	
"Nuphar pumila (Timm) DC."	"N"	"2cd4p9h.1hr"	"2cd4p9h.1hr"	"Nuphar pumila (Timm) DC."	"Nuphar pumila"	
"Oenanthe silaifolia M.Bieb."	"N"	"2cd4p9h.1vb"	"2cd4p9h.1vb"	"Oenanthe silaifolia M.Bieb."	"Oenanthe silaifolia"	
"Ophrys insectifera L."	"N"	"2cd4p9h.1vn"	"2cd4p9h.1vn"	"Ophrys insectifera L."	"Ophrys insectifera"	
"Orobanche artemisiae-campestris auct. non Vaucher ex Gaudin"	"N"	"2cd4p9h.1vt"	"2cd4p9h.7mxskg"	"Orobanche picridis F.W.Schultz"	"Orobanche artemisiae-campestris"	
"Orthilia secunda (L.) House"	"N"	"2cd4p9h.1w4"	"2cd4p9h.1w4"	"Orthilia secunda (L.) House"	"Orthilia secunda"	
"Vaccinium microcarpum (Turcz. ex Rupr.) Schmalh."	"N"	"2cd4p9h.1wg"	"2cd4p9h.1wg"	"Vaccinium microcarpum (Turcz. ex Rupr.) Schmalh."	"Vaccinium microcarpum"	
"Petasites albus (L.) Gaertn."	"AN"	"2cd4p9h.1k9"	"2cd4p9h.1k9"	"Petasites albus (L.) Gaertn."	"Petasites albus"	
"Peucedanum officinale L."	"N"	"2cd4p9h.1kf"	"2cd4p9h.1kf"	"Peucedanum officinale L."	"Peucedanum officinale"	
"Phleum phleoides (L.) H.Karst."	"N"	"2cd4p9h.1kx"	"2cd4p9h.1kx"	"Phleum phleoides (L.) H.Karst."	"Phleum phleoides"	
"Picea abies (L.) H.Karst."	"AN"	"2cd4p9h.1kr"	"2cd4p9h.1kr"	"Picea abies (L.) H.Karst."	"Picea abies"	
"Pimpinella saxifraga L."	"N"	"2cd4p9h.1x2"	"2cd4p9h.1x2"	"Pimpinella saxifraga L."	"Pimpinella saxifraga"	
"Plantago lanceolata L."	"N"	"2cd4p9h.1xk"	"2cd4p9h.1xk"	"Plantago lanceolata L."	"Plantago lanceolata"	
"Polemonium caeruleum L."	"N"	"2cd4p9h.1xq"	"2cd4p9h.1xq"	"Polemonium caeruleum L."	"Polemonium caeruleum"	
"Fallopia convolvulus (L.) Á.Löve"	"AR"	"2cd4p9h.1m1"	"2cd4p9h.1m1"	"Fallopia convolvulus (L.) Á.Löve"	"Fallopia convolvulus"	
"Populus alba x tremula = P. x canescens (Aiton) Sm."	"AN"	"2cd4p9h.1ma"	"2cd4p9h.1ma"	"Populus alba x tremula = P. x canescens (Aiton) Sm."	"Populus alba x tremula = P. x canescens"	
"Potamogeton lucens L."	"N"	"2cd4p9h.1mg"	"2cd4p9h.1mg"	"Potamogeton lucens L."	"Potamogeton lucens"	
"Potamogeton natans L."	"N"	"2cd4p9h.1mw"	"2cd4p9h.1mw"	"Potamogeton natans L."	"Potamogeton natans"	
"Potamogeton nodosus Poir."	"N"	"2cd4p9h.1mm"	"2cd4p9h.1mm"	"Potamogeton nodosus Poir."	"Potamogeton nodosus"	
"Potamogeton pusillus L."	"N"	"2cd4p9h.1mp"	"2cd4p9h.1mp"	"Potamogeton pusillus L."	"Potamogeton pusillus"	
"Potamogeton lucens x gramineus = P. x zizii W.D.J.Koch ex Roth"	"NH"	"2cd4p9h.1ms"	"2cd4p9h.7mm4en"	"Potamogeton gramineus x lucens = P. x angustifolius J.Presl"	"Potamogeton lucens x gramineus = P. x zizii"	
"Potentilla anserina L."	"N"	"2cd4p9h.1n3"	"2cd4p9h.1n3"	"Potentilla anserina L."	"Potentilla anserina"	
"Pulicaria dysenterica (L.) Bernh."	"N"	"2cd4p9h.1nx"	"2cd4p9h.1nx"	"Pulicaria dysenterica (L.) Bernh."	"Pulicaria dysenterica"	
"Pulmonaria longifolia (Bastard) Boreau"	"N"	"2cd4p9h.1nr"	"2cd4p9h.1nr"	"Pulmonaria longifolia (Bastard) Boreau"	"Pulmonaria longifolia"	
"Quercus robur L."	"N"	"2cd4p9h.1y5"	"2cd4p9h.1y5"	"Quercus robur L."	"Quercus robur"	
"Ranunculus hederaceus L."	"N"	"2cd4p9h.1yt"	"2cd4p9h.1yt"	"Ranunculus hederaceus L."	"Ranunculus hederaceus"	
"Ranunculus omiophyllus Ten."	"N"	"2cd4p9h.1p1"	"2cd4p9h.1p1"	"Ranunculus omiophyllus Ten."	"Ranunculus omiophyllus"	
"Ranunculus lingua L."	"N"	"2cd4p9h.1p4"	"2cd4p9h.1p4"	"Ranunculus lingua L."	"Ranunculus lingua"	
"Reseda lutea L."	"NA"	"2cd4p9h.1ps"	"2cd4p9h.1ps"	"Reseda lutea L."	"Reseda lutea"	
"Coincya wrightii (O.E.Schulz) Stace"	"NE"	"2cd4p9h.1q3"	"2cd4p9h.1q3"	"Coincya wrightii (O.E.Schulz) Stace"	"Coincya wrightii"	
"Romulea columnae Sebast. & Mauri"	"N"	"2cd4p9h.1qf"	"2cd4p9h.1qf"	"Romulea columnae Sebast. & Mauri"	"Romulea columnae"	
"Rorippa amphibia (L.) Besser"	"N"	"2cd4p9h.1qx"	"2cd4p9h.1qx"	"Rorippa amphibia (L.) Besser"	"Rorippa amphibia"	
"Rosa agrestis Savi"	"N"	"2cd4p9h.1qr"	"2cd4p9h.1qr"	"Rosa agrestis Savi"	"Rosa agrestis"	
"Rosa canina L. s.s."	"N"	"2cd4p9h.1qz"	"2cd4p9h.1qz"	"Rosa canina L. s.s."	"Rosa canina"	"s.s."
"Rosa mollis agg."	"N"	"2cd4p9h.1r5"	"2cd4p9h.1r5"	"Rosa mollis agg."	"Rosa mollis"	"agg."
"Rumex acetosa L."	"N"	"2cd4p9h.1rh"	"2cd4p9h.1rh"	"Rumex acetosa L."	"Rumex acetosa"	
"Rumex rupestris Le Gall"	"N"	"2cd4p9h.1rn"	"2cd4p9h.1rn"	"Rumex rupestris Le Gall"	"Rumex rupestris"	
"Salicornia dolichostachya Moss"	"N"	"2cd4p9h.1rt"	"2cd4p9h.1rt"	"Salicornia dolichostachya Moss"	"Salicornia dolichostachya"	
"Salix alba L."	"AR"	"2cd4p9h.1sa"	"2cd4p9h.1sa"	"Salix alba L."	"Salix alba"	
"Salix aurita L. s.s."	"N"	"2cd4p9h.1sp"	"2cd4p9h.1sp"	"Salix aurita L. s.s."	"Salix aurita"	"s.s."
"Salix caprea L."	"N"	"2cd4p9h.1ss"	"2cd4p9h.1ss"	"Salix caprea L."	"Salix caprea"	
"Salix cinerea L."	"N"	"2cd4p9h.1t0"	"2cd4p9h.1t0"	"Salix cinerea L."	"Salix cinerea"	
"Salix repens L."	"N"	"2cd4p9h.1tf"	"2cd4p9h.1tf"	"Salix repens L."	"Salix repens"	
"Sambucus racemosa L."	"AN"	"2cd4p9h.1z5"	"2cd4p9h.1z5"	"Sambucus racemosa L."	"Sambucus racemosa"	
"Saxifraga oppositifolia L."	"N"	"2cd4p9h.1zb"	"2cd4p9h.1zb"	"Saxifraga oppositifolia L."	"Saxifraga oppositifolia"	
"Schoenoplectus lacustris (L.) Palla"	"N"	"2cd4p9h.1zk"	"2cd4p9h.1zk"	"Schoenoplectus lacustris (L.) Palla"	"Schoenoplectus lacustris"	
"Scirpus sylvaticus L."	"N"	"2cd4p9h.201"	"2cd4p9h.201"	"Scirpus sylvaticus L."	"Scirpus sylvaticus"	
"Tephroseris palustris (L.) Fourr."	"N"	"2cd4p9h.20g"	"2cd4p9h.20g"	"Tephroseris palustris (L.) Fourr."	"Tephroseris palustris"	
"Serratula tinctoria L."	"N"	"2cd4p9h.20m"	"2cd4p9h.20m"	"Serratula tinctoria L."	"Serratula tinctoria"	
"Sesleria caerulea (L.) Ard."	"N"	"2cd4p9h.20s"	"2cd4p9h.20s"	"Sesleria caerulea (L.) Ard."	"Sesleria caerulea"	
