"key"	"dataValue"	"taxonId"	"origTaxonId"	"prefTaxonName"	"origTaxon"	"origQualifier"
"Asplenium trichomanes L."	"N"	"2cd4p9h.aq"	"2cd4p9h.aq"	"Asplenium trichomanes L."	"Asplenium trichomanes"	
"Asplenium viride Huds."	"N"	"2cd4p9h.b4"	"2cd4p9h.b4"	"Asplenium viride Huds."	"Asplenium viride"	
"Dryopteris aemula (Aiton) Kuntze"	"N"	"2cd4p9h.ba"	"2cd4p9h.ba"	"Dryopteris aemula (Aiton) Kuntze"	"Dryopteris aemula"	
"Hymenophyllum wilsonii Hook."	"N"	"2cd4p9h.bg"	"2cd4p9h.bg"	"Hymenophyllum wilsonii Hook."	"Hymenophyllum wilsonii"	
"Isoetes echinospora Durieu"	"N"	"2cd4p9h.bm"	"2cd4p9h.bm"	"Isoetes echinospora Durieu"	"Isoetes echinospora"	
"Selaginella selaginoides (L.) P.Beauv."	"N"	"2cd4p9h.bs"	"2cd4p9h.bs"	"Selaginella selaginoides (L.) P.Beauv."	"Selaginella selaginoides"	
"Aconitum napellus L."	"NA"	"2cd4p9h.dn"	"2cd4p9h.dn"	"Aconitum napellus L."	"Aconitum napellus"	
"Actaea spicata L."	"N"	"2cd4p9h.dt"	"2cd4p9h.dt"	"Actaea spicata L."	"Actaea spicata"	
"Aegopodium podagraria L."	"AR"	"2cd4p9h.e4"	"2cd4p9h.e4"	"Aegopodium podagraria L."	"Aegopodium podagraria"	
"Aira praecox L."	"N"	"2cd4p9h.f0"	"2cd4p9h.f0"	"Aira praecox L."	"Aira praecox"	
"Alchemilla minima Walters"	"NE"	"2cd4p9h.f9"	"2cd4p9h.f9"	"Alchemilla minima Walters"	"Alchemilla minima"	
"Allium roseum L."	"AN"	"2cd4p9h.ff"	"2cd4p9h.ff"	"Allium roseum L."	"Allium roseum"	
"Allium scorodoprasum L."	"N"	"2cd4p9h.fv"	"2cd4p9h.fv"	"Allium scorodoprasum L."	"Allium scorodoprasum"	
"Althaea officinalis L."	"N"	"2cd4p9h.fz"	"2cd4p9h.fz"	"Althaea officinalis L."	"Althaea officinalis"	
"Amaranthus albus L."	"AN"	"2cd4p9h.g5"	"2cd4p9h.g5"	"Amaranthus albus L."	"Amaranthus albus"	
"Andromeda polifolia L."	"N"	"2cd4p9h.gn"	"2cd4p9h.gn"	"Andromeda polifolia L."	"Andromeda polifolia"	
"Anemone nemorosa L."	"N"	"2cd4p9h.gt"	"2cd4p9h.gt"	"Anemone nemorosa L."	"Anemone nemorosa"	
"Aphanes arvensis L. s.s."	"N"	"2cd4p9h.hg"	"2cd4p9h.hg"	"Aphanes arvensis L. s.s."	"Aphanes arvensis"	"s.s."
"Arabis hirsuta (L.) Scop."	"N"	"2cd4p9h.hm"	"2cd4p9h.hm"	"Arabis hirsuta (L.) Scop."	"Arabis hirsuta"	
"Arenaria ciliata L."	"N"	"2cd4p9h.v9"	"2cd4p9h.v9"	"Arenaria ciliata L."	"Arenaria ciliata"	
"Arenaria serpyllifolia L. s.s."	"N"	"2cd4p9h.vc"	"2cd4p9h.vc"	"Arenaria serpyllifolia L. s.s."	"Arenaria serpyllifolia"	"s.s."
"Armoracia rusticana P.Gaertn., B.Mey. & Scherb."	"AR"	"2cd4p9h.vv"	"2cd4p9h.vv"	"Armoracia rusticana P.Gaertn., B.Mey. & Scherb."	"Armoracia rusticana"	
"Artemisia absinthium L."	"AR"	"2cd4p9h.w2"	"2cd4p9h.w2"	"Artemisia absinthium L."	"Artemisia absinthium"	
"Artemisia campestris L."	"N"	"2cd4p9h.w5"	"2cd4p9h.w5"	"Artemisia campestris L."	"Artemisia campestris"	
"Atriplex laciniata L."	"N"	"2cd4p9h.wt"	"2cd4p9h.wt"	"Atriplex laciniata L."	"Atriplex laciniata"	
"Barbarea vulgaris W.T.Aiton"	"N"	"2cd4p9h.k4"	"2cd4p9h.k4"	"Barbarea vulgaris W.T.Aiton"	"Barbarea vulgaris"	
"Bidens tripartita L."	"N"	"2cd4p9h.kw"	"2cd4p9h.kw"	"Bidens tripartita L."	"Bidens tripartita"	
"Briza minor L."	"AR"	"2cd4p9h.kp"	"2cd4p9h.kp"	"Briza minor L."	"Briza minor"	
"Bromopsis benekenii (Lange) Holub"	"N"	"2cd4p9h.x0"	"2cd4p9h.x0"	"Bromopsis benekenii (Lange) Holub"	"Bromopsis benekenii"	
"Ceratochloa cathartica (Vahl) Herter"	"AN"	"2cd4p9h.x6"	"2cd4p9h.x6"	"Ceratochloa cathartica (Vahl) Herter"	"Ceratochloa cathartica"	
"Bromus commutatus Schrad."	"N"	"2cd4p9h.xc"	"2cd4p9h.xc"	"Bromus commutatus Schrad."	"Bromus commutatus"	
"Bromus hordeaceus L."	"N"	"2cd4p9h.xf"	"2cd4p9h.xf"	"Bromus hordeaceus L."	"Bromus hordeaceus"	
"Buddleja davidii Franch."	"AN"	"2cd4p9h.xy"	"2cd4p9h.xy"	"Buddleja davidii Franch."	"Buddleja davidii"	
"Bupleurum falcatum L."	"AN"	"2cd4p9h.m8"	"2cd4p9h.m8"	"Bupleurum falcatum L."	"Bupleurum falcatum"	
"Bupleurum rotundifolium L."	"AR"	"2cd4p9h.mb"	"2cd4p9h.mb"	"Bupleurum rotundifolium L."	"Bupleurum rotundifolium"	
"Clinopodium ascendens (Jord.) Samp."	"N"	"2cd4p9h.mh"	"2cd4p9h.mh"	"Clinopodium ascendens (Jord.) Samp."	"Clinopodium ascendens"	
"Callitriche brutia Petagna"	"N"	"2cd4p9h.mn"	"2cd4p9h.mn"	"Callitriche brutia Petagna"	"Callitriche brutia"	
"Callitriche stagnalis s.l."	"N"	"2cd4p9h.mq"	"2cd4p9h.mq"	"Callitriche stagnalis s.l."	"Callitriche stagnalis"	"s.l."
"Cardamine pratensis L."	"N"	"2cd4p9h.n1"	"2cd4p9h.n1"	"Cardamine pratensis L."	"Cardamine pratensis"	
"Carduus tenuiflorus Curtis"	"N"	"2cd4p9h.n7"	"2cd4p9h.n7"	"Carduus tenuiflorus Curtis"	"Carduus tenuiflorus"	
"Carex appropinquata Schumach."	"N"	"2cd4p9h.nd"	"2cd4p9h.nd"	"Carex appropinquata Schumach."	"Carex appropinquata"	
"Carex laevigata Sm."	"N"	"2cd4p9h.ng"	"2cd4p9h.ng"	"Carex laevigata Sm."	"Carex laevigata"	
"Carex limosa L."	"N"	"2cd4p9h.nw"	"2cd4p9h.nw"	"Carex limosa L."	"Carex limosa"	
"Carex maritima Gunnerus"	"N"	"2cd4p9h.nm"	"2cd4p9h.nm"	"Carex maritima Gunnerus"	"Carex maritima"	
"Carex nigra (L.) Reichard"	"N"	"2cd4p9h.np"	"2cd4p9h.np"	"Carex nigra (L.) Reichard"	"Carex nigra"	
