family,genus,rn.bl,bn.bl,nspp_in_genera,div_rate_basal_age_upper,div_rate_basal_age_lower,div_rate_root_age_upper,div_rate_root_age_lower,hyb_present,neo_present,type
Apocynaceae,Ochrosia,12.984137,6.022286,48,0.6428125484090079,0.2890042377330642,0.29814850312407293,0.1340455799904533,no hybrid,neophyte,no hybrid & neophyte
Apocynaceae,Laxoplumeria,10.407317,4.090016,5,0.3935040626819309,0.08226672869280044,0.15464484385688454,0.032330353406282604,no hybrid,no neophyte,no hybrid & no neophyte
Apocynaceae,Vinca,12.715781,1.108451,12,2.241783037579469,0.6693460917346613,0.19541911344556817,0.058347760529170574,no hybrid,neophyte,no hybrid & neophyte
Apocynaceae,Kopsia,18.351652,12.067505,28,0.27613036084718456,0.10841783944984308,0.18157517972633763,0.07129237300544815,no hybrid,neophyte,no hybrid & neophyte
Apocynaceae,Plumeria,5.24407000000002,1.635049,20,1.8321972451920345,0.6511797120406961,0.5712609239682116,0.20303137391232842,hybrid,neophyte,hybrid & neophyte
Apocynaceae,Himatanthus,5.244071,5.244071,9,0.41899214891183195,0.1120859471395637,0.41899214891183195,0.1120859471395637,no hybrid,no neophyte,no hybrid & no neophyte
Apocynaceae,Allamanda,8.42581300000001,3.683869,15,0.7351103421707477,0.23764925879663465,0.32139927637869564,0.10390317674435673,no hybrid,neophyte,no hybrid & neophyte
Apocynaceae,Cerbera,13.074863,0.069847,6,25.65263317290728,5.805046861113066,0.13703848898669568,0.031011040659329612,no hybrid,neophyte,no hybrid & neophyte
Apocynaceae,Carissa,4.14418499999999,4.114246,9,0.5340527954177314,0.14286619344154894,0.5301946166342055,0.14183407953605362,no hybrid,neophyte,no hybrid & neophyte
Apocynaceae,Acokanthera,4.14418499999999,0.665537,5,2.4182546010726678,0.5055650348834293,0.3883605370981518,0.0811914131780347,no hybrid,neophyte,no hybrid & neophyte
Apocynaceae,Alyxia,12.1464099999999,3.528251,106,1.3217424423920143,0.6922259882783862,0.38393559036061725,0.20107562937273024,no hybrid,no neophyte,no hybrid & no neophyte
Apocynaceae,Pteralyxia,12.146411,12.146411,2,0.05706600744532235,0.00784677711007185,0.05706600744532235,0.00784677711007185,no hybrid,no neophyte,no hybrid & no neophyte
Apocynaceae,Chilocarpus,12.086915,2.493672,14,1.0583017051221084,0.33400909299021836,0.21834002552473136,0.06890998430410936,no hybrid,no neophyte,no hybrid & no neophyte
Apocynaceae,Condylocarpon,12.086916,12.086916,9,0.1817853766284319,0.04862999502123775,0.1817853766284319,0.04862999502123775,no hybrid,neophyte,no hybrid & neophyte
Apocynaceae,Rhazya,24.412615,24.412615,2,0.02839299192486939,0.0039041364394729913,0.02839299192486939,0.0039041364394729913,no hybrid,no neophyte,no hybrid & no neophyte
Apocynaceae,Pleiocarpa,2.02522199999999,1.162653,6,1.5410956400818259,0.34874129091669176,0.8847224991769118,0.20020773431661634,no hybrid,no neophyte,no hybrid & no neophyte
Apocynaceae,Picralima,2.025223,2.025223,1,0,0,0,0,no hybrid,no neophyte,no hybrid & no neophyte
Apocynaceae,Hunteria,5.126561,5.126561,12,0.4847121978628559,0.14472418151844427,0.4847121978628559,0.14472418151844427,no hybrid,no neophyte,no hybrid & no neophyte
Apocynaceae,Gonioma,8.292244,8.292244,2,0.0835898196628012,0.01149389475325677,0.0835898196628012,0.01149389475325677,no hybrid,no neophyte,no hybrid & no neophyte
Apocynaceae,Melodinus,9.13248500000003,1.617546,24,1.9647378376552789,0.7381072739028345,0.3479944210527513,0.1307335811088034,no hybrid,no neophyte,no hybrid & no neophyte
Apocynaceae,Craspidospermum,9.132486,9.132486,1,0,0,0,0,no hybrid,no neophyte,no hybrid & no neophyte
Apocynaceae,Diplorhynchus,13.105952,13.105952,1,0,0,0,0,no hybrid,no neophyte,no hybrid & no neophyte
Apocynaceae,Aspidosperma,9.55544900000001,7.393328,83,0.597679503438316,0.3001629961574807,0.46244196455829484,0.2322448148752604,no hybrid,no neophyte,no hybrid & no neophyte
Apocynaceae,Geissospermum,9.55545,9.55545,5,0.16843140955518582,0.035212599785589674,0.16843140955518582,0.035212599785589674,no hybrid,no neophyte,no hybrid & no neophyte
Apocynaceae,Haplophyton,8.860578,8.860578,2,0.07822821271478511,0.010756654904942424,0.07822821271478511,0.010756654904942424,no hybrid,no neophyte,no hybrid & no neophyte
Apocynaceae,Vallesia,8.860578,8.860578,11,0.2706251525350119,0.07822821271478508,0.2706251525350119,0.07822821271478508,no hybrid,no neophyte,no hybrid & no neophyte
Apocynaceae,Alstonia,10.926309,0.581255,48,6.660073480499766,2.994324650696346,0.35430089071322174,0.15929131922230136,no hybrid,neophyte,no hybrid & neophyte
Apocynaceae,Dyera,10.92631,10.92631,2,0.063438359387565,0.008722997956704956,0.063438359387565,0.008722997956704956,no hybrid,neophyte,no hybrid & neophyte
Gentianaceae,Gentianella,12.953998,2.741715,341,2.127092887949155,1.2967606266477054,0.45019942702504023,0.27445951909900046,hybrid,no neophyte,hybrid & no neophyte
Gentianaceae,Swertia,12.884512,9.807249,187,0.5333920467252934,0.3034010420492506,0.40599974735982136,0.23093847607394608,no hybrid,no neophyte,no hybrid & no neophyte
Gentianaceae,Lomatogoniopsis,3.64037,3.64037,3,0.3017858867829671,0.05008324889886319,0.3017858867829671,0.05008324889886319,no hybrid,no neophyte,no hybrid & no neophyte
Gentianaceae,Lomatogonium,9.391264,9.391264,31,0.36565761589549034,0.14761531154058605,0.36565761589549034,0.14761531154058605,no hybrid,no neophyte,no hybrid & no neophyte
Gentianaceae,Halenia,13.544479,13.544479,69,0.3126075580018441,0.15165764099863463,0.3126075580018441,0.15165764099863463,no hybrid,no neophyte,no hybrid & no neophyte
Gentianaceae,Gentianopsis,4.90388100000001,3.003787,29,1.1210168463963903,0.4444393250028514,0.6866593683628268,0.27223357718760655,no hybrid,no neophyte,no hybrid & no neophyte
Gentianaceae,Pterygocalyx,4.903882,4.903882,1,0,0,0,0,no hybrid,no neophyte,no hybrid & no neophyte
Gentianaceae,Gentiana,14.263052,10.491856,479,0.5882372572985098,0.37054743344353003,0.43270546846571933,0.27257352163191306,hybrid,neophyte,hybrid & neophyte
