"botanical_countries_l3","n"
"Spain",578
"Sweden",332
"Italy",233
"Greece",156
"Great Britain",101
"France",72
"Yugoslavia",64
"Bulgaria",56
"Germany",55
"Portugal",55
"Czechoslovakia",53
"Cyprus",33
"Hungary",27
"Albania",26
"Romania",22
"Ukraine",22
"Austria",19
"Norway",10
"Ireland",8
"Poland",6
"Belgium",3
"Switzerland",3
"Baltic States",2
"Netherlands",2
"Denmark",1
"Finland",1
