"botanical_countries_l3","n"
"Spain",514
"Italy",194
"Greece",148
"Yugoslavia",63
"France",57
"Bulgaria",53
"Portugal",49
"Germany",43
"Czechoslovakia",34
"Cyprus",32
"Great Britain",27
"Albania",26
"Romania",22
"Ukraine",22
"Austria",19
"Sweden",16
"Norway",10
"Hungary",7
"Poland",6
"Belgium",3
"Ireland",3
"Switzerland",3
"Netherlands",2
"Baltic States",1
"Denmark",1
"Finland",1
