"species","plant_name_id","botanical_countries_l3","Threatened","europe_endemic","area_code_l3"
"Achillea thracica","1110195-az","Bulgaria",1,1,"BUL"
"Achillea thracica","1110195-az","Romania",1,1,"ROM"
